A_000	A_003	A_009	A_019	A_020	A_027	A_033	A_035	A_036	A_050	A_051	A_053	A_065	A_085	A_091	A_098	A_102	A_103	A_104	A_119	A_127	A_146	A_174	A_190	A_200	A_207	A_208	A_220	A_227	A_235	A_240	A_243	A_244	A_247	A_251	A_252	A_256	A_275	A_285	A_291	A_303	A_310	A_320	A_323	A_333	A_338	A_352	A_357	A_362	A_363	A_387	A_396	A_430	A_444	A_446	A_449	A_451	A_452	A_457	A_477	A_486	A_493	A_502	A_513	A_519	A_527	A_529	A_530	A_536	A_539	A_549	A_550	A_553	A_559	A_562	A_563	A_574	A_588	A_590	A_602	A_608	A_612	A_619	A_651	A_664	A_678	A_680	A_691	A_694	A_695	A_722
6.755000e+02	6.587001e+02	6.707001e+02	6.306999e+02	6.427002e+02	1.080600e+03	9.214998e+02	5.593998e+02	6.034000e+02	7.099999e+02	5.049000e+02	6.567999e+02	5.375999e+02	6.570999e+02	7.098001e+02	5.600998e+02	7.710000e+02	7.333998e+02	6.581999e+02	7.458998e+02	5.809999e+02	7.218999e+02	8.719001e+02	8.832996e+02	7.017002e+02	7.793000e+02	6.590997e+02	6.659001e+02	6.564999e+02	9.823995e+02	7.586002e+02	5.638001e+02	5.262002e+02	8.540999e+02	8.688998e+02	5.434001e+02	4.833998e+02	7.328997e+02	7.215002e+02	7.516999e+02	8.268002e+02	5.222001e+02	7.732001e+02	7.049001e+02	6.761001e+02	6.414998e+02	7.287999e+02	6.889001e+02	6.928998e+02	7.877003e+02	8.034999e+02	6.059000e+02	9.253998e+02	8.260996e+02	6.365998e+02	6.292001e+02	5.358001e+02	5.077998e+02	5.524002e+02	4.207000e+02	7.779001e+02	5.965999e+02	7.007000e+02	6.212000e+02	6.812002e+02	3.866000e+02	7.656998e+02	7.261999e+02	6.911002e+02	9.102001e+02	6.728999e+02	8.392001e+02	6.725003e+02	4.837001e+02	6.007001e+02	5.855997e+02	6.047999e+02	6.157001e+02	8.075999e+02	6.732997e+02	6.196999e+02	8.159998e+02	6.906998e+02	5.661000e+02	6.487002e+02	6.893998e+02	7.825998e+02	6.195999e+02	5.474001e+02	6.374998e+02	7.769996e+02
1.220200e+03	1.222800e+03	1.197099e+03	1.180200e+03	1.504299e+03	1.138601e+03	1.175000e+03	1.199200e+03	1.137499e+03	1.326199e+03	1.766899e+03	1.342600e+03	1.256400e+03	1.219500e+03	1.281101e+03	1.287100e+03	5.647000e+03	1.286900e+03	1.271200e+03	1.369300e+03	1.422199e+03	1.853200e+03	1.379500e+03	1.500801e+03	1.927600e+03	1.495700e+03	1.184500e+03	1.317100e+03	1.250299e+03	1.253500e+03	1.269300e+03	1.230500e+03	1.215500e+03	1.248000e+03	1.329100e+03	1.193300e+03	1.404500e+03	1.200500e+03	1.247600e+03	1.335801e+03	1.283701e+03	1.605201e+03	1.151300e+03	1.246801e+03	1.446600e+03	1.283000e+03	1.286900e+03	1.276700e+03	1.286300e+03	1.362100e+03	1.311100e+03	1.209700e+03	1.280700e+03	1.274800e+03	1.268000e+03	1.949801e+03	1.297701e+03	1.183900e+03	1.188600e+03	1.169200e+03	1.300100e+03	1.167100e+03	1.189199e+03	1.163800e+03	1.249400e+03	1.261200e+03	1.135099e+03	1.233900e+03	1.530600e+03	1.416000e+03	1.309300e+03	1.276599e+03	1.269300e+03	1.421101e+03	1.735300e+03	1.312700e+03	1.324200e+03	1.289900e+03	1.325100e+03	1.499200e+03	1.199000e+03	1.354900e+03	1.598100e+03	1.338600e+03	1.292801e+03	1.254999e+03	1.332200e+03	1.246001e+03	1.255100e+03	1.252200e+03	1.347800e+03
1.752800e+03	1.805000e+03	1.619399e+03	1.816499e+03	2.013500e+03	1.981401e+03	2.056700e+03	2.282000e+03	1.638100e+03	1.765900e+03	1.592800e+03	1.860099e+03	1.646900e+03	1.820900e+03	2.103099e+03	1.978600e+03	1.754100e+03	1.716900e+03	2.048700e+03	2.270399e+03	2.070700e+03	1.696099e+03	1.694199e+03	1.963500e+03	1.883900e+03	1.916300e+03	1.880800e+03	1.873000e+03	1.727300e+03	1.976500e+03	1.879299e+03	1.832501e+03	1.951300e+03	2.051499e+03	1.724800e+03	2.100500e+03	2.047300e+03	1.777299e+03	1.962199e+03	1.851100e+03	1.728600e+03	2.057000e+03	1.455801e+03	1.906700e+03	2.768199e+03	2.220400e+03	2.008300e+03	1.819501e+03	1.720800e+03	1.969401e+03	1.923301e+03	2.162600e+03	1.919000e+03	2.084800e+03	2.015300e+03	2.091001e+03	2.047800e+03	2.451301e+03	1.781100e+03	1.972499e+03	1.750100e+03	2.020100e+03	1.887000e+03	1.608200e+03	2.205200e+03	1.752300e+03	1.544400e+03	1.913801e+03	1.875400e+03	1.986000e+03	1.375500e+03	2.097100e+03	1.920999e+03	1.843100e+03	1.925499e+03	2.051100e+03	1.859100e+03	1.853000e+03	2.227700e+03	1.841300e+03	1.829399e+03	1.800400e+03	2.709699e+03	2.464701e+03	2.070400e+03	2.118601e+03	1.794500e+03	2.192400e+03	1.931999e+03	2.333500e+03	2.112000e+03
3.326969e+04	4.763700e+04	3.929091e+04	3.013831e+04	4.279181e+04	5.692410e+04	3.524950e+04	3.136400e+04	4.107819e+04	3.335240e+04	5.938389e+04	4.858189e+04	3.376910e+04	4.028941e+04	3.353730e+04	4.833531e+04	3.746090e+04	3.300711e+04	3.716518e+04	5.100111e+04	4.432989e+04	5.100411e+04	3.563020e+04	2.815520e+04	3.245059e+04	4.440089e+04	3.702880e+04	3.746610e+04	3.231089e+04	4.730290e+04	5.392890e+04	4.188102e+04	3.292220e+04	3.230120e+04	4.735070e+04	3.237452e+04	3.608969e+04	4.235069e+04	4.127882e+04	4.062902e+04	5.744609e+04	4.135930e+04	2.971400e+04	3.241219e+04	4.022420e+04	3.944090e+04	4.287708e+04	3.239229e+04	3.292560e+04	3.378579e+04	5.021449e+04	4.571731e+04	6.098188e+04	3.693981e+04	3.540619e+04	2.924590e+04	2.287451e+04	4.614798e+04	3.235399e+04	3.369439e+04	3.020829e+04	3.619460e+04	5.229810e+04	3.448812e+04	6.981140e+04	3.222800e+04	1.825210e+04	3.371220e+04	3.398449e+04	5.108411e+04	3.470130e+04	4.610009e+04	3.729860e+04	3.266570e+04	3.976650e+04	2.745871e+04	3.802201e+04	3.187498e+04	4.544938e+04	4.512558e+04	4.236910e+04	4.638032e+04	4.698990e+04	5.543410e+04	5.138231e+04	4.869490e+04	3.638338e+04	4.190010e+04	4.558069e+04	4.719391e+04	3.894620e+04
9.166403e+03	7.129000e+03	7.726702e+03	8.585700e+03	8.175397e+03	6.594301e+03	7.835203e+03	9.716096e+03	6.946801e+03	8.875201e+03	9.265499e+03	7.043301e+03	7.356302e+03	7.188500e+03	7.880798e+03	9.028897e+03	6.875801e+03	7.400797e+03	9.761296e+03	8.564296e+03	8.699598e+03	8.721702e+03	8.246099e+03	8.457702e+03	9.611101e+03	8.235800e+03	9.758894e+03	8.363204e+03	6.340202e+03	8.616797e+03	7.335400e+03	8.719000e+03	1.004510e+04	9.801895e+03	8.102700e+03	7.254201e+03	8.093405e+03	6.574202e+03	8.489695e+03	9.925899e+03	6.988601e+03	9.205000e+03	5.842099e+03	7.609796e+03	8.906501e+03	1.192719e+04	7.927499e+03	8.285603e+03	1.010380e+04	8.343199e+03	8.397406e+03	1.023740e+04	6.804800e+03	9.240300e+03	9.297299e+03	1.074000e+04	1.013750e+04	8.438302e+03	8.730999e+03	7.905401e+03	6.940597e+03	9.597101e+03	6.748598e+03	5.043397e+03	9.598099e+03	9.435596e+03	6.284699e+03	9.003299e+03	7.972702e+03	6.673001e+03	9.524199e+03	5.773902e+03	9.193000e+03	1.071870e+04	8.876400e+03	9.495498e+03	1.023740e+04	7.466099e+03	8.047601e+03	8.226300e+03	9.850806e+03	8.468502e+03	7.905999e+03	1.250209e+04	9.647103e+03	1.120450e+04	9.491701e+03	8.246596e+03	1.083730e+04	8.534098e+03	7.916198e+03
8.727998e+02	6.313998e+02	7.447002e+02	8.803003e+02	7.324000e+02	7.392000e+02	1.115800e+03	9.677999e+02	9.231997e+02	8.406998e+02	6.173997e+02	1.056700e+03	8.212001e+02	6.470000e+02	8.926000e+02	6.623000e+02	8.437004e+02	7.520001e+02	7.127997e+02	6.866000e+02	7.642999e+02	8.058000e+02	7.857001e+02	4.587000e+02	8.027000e+02	9.196002e+02	6.957002e+02	7.526999e+02	1.107500e+03	7.726997e+02	7.122999e+02	7.948000e+02	6.796999e+02	8.604002e+02	6.803998e+02	1.069300e+03	8.358000e+02	6.650002e+02	6.861998e+02	6.892999e+02	1.061900e+03	7.704001e+02	1.060500e+03	9.545004e+02	8.487001e+02	8.956995e+02	6.947003e+02	8.869998e+02	6.577001e+02	6.730001e+02	7.343001e+02	6.051999e+02	7.324000e+02	7.721001e+02	8.464001e+02	6.287000e+02	6.020001e+02	7.509000e+02	7.681004e+02	8.711999e+02	1.126400e+03	5.913002e+02	7.755000e+02	7.279003e+02	7.859000e+02	1.082700e+03	6.909000e+02	1.071299e+03	8.205998e+02	7.516004e+02	8.215001e+02	7.763003e+02	9.486000e+02	7.051997e+02	7.865998e+02	6.433999e+02	6.880001e+02	7.073003e+02	7.701000e+02	4.574001e+02	8.382002e+02	7.814003e+02	9.043999e+02	6.674001e+02	7.284999e+02	6.912999e+02	9.321995e+02	7.426003e+02	6.302000e+02	7.704001e+02	9.246003e+02
1.434000e+03	7.396003e+02	6.650002e+02	3.916999e+02	6.625002e+02	6.070001e+02	6.198997e+02	4.962000e+02	4.589000e+02	5.700999e+02	6.943999e+02	6.081001e+02	3.617999e+02	4.439997e+02	6.700997e+02	4.192000e+02	4.502002e+02	5.392001e+02	7.525998e+02	8.370999e+02	4.454001e+02	3.639998e+02	5.988999e+02	7.796998e+02	6.367000e+02	5.086999e+02	4.521999e+02	4.503001e+02	7.941001e+02	4.903000e+02	5.284998e+02	5.462002e+02	3.918001e+02	6.178000e+02	4.805001e+02	4.859998e+02	6.744001e+02	4.768002e+02	4.898000e+02	7.493999e+02	5.565000e+02	3.750999e+02	6.630000e+02	5.027000e+02	5.860001e+02	6.206000e+02	5.163001e+02	5.803997e+02	4.394999e+02	5.235999e+02	5.589998e+02	6.093997e+02	4.707998e+02	5.801001e+02	4.772998e+02	4.056999e+02	4.672999e+02	7.200000e+02	5.303000e+02	4.380999e+02	4.894002e+02	5.598001e+02	6.633999e+02	4.141998e+02	5.052001e+02	4.169001e+02	6.236998e+02	5.706000e+02	5.302001e+02	4.772998e+02	7.184998e+02	6.542000e+02	4.794003e+02	9.160001e+02	4.455999e+02	4.492999e+02	6.379997e+02	5.519000e+02	4.670001e+02	5.779000e+02	7.748998e+02	7.238997e+02	7.361000e+02	4.713000e+02	5.996002e+02	5.123998e+02	7.759000e+02	5.816002e+02	8.285001e+02	4.083001e+02	5.120000e+02
1.290001e+03	8.378998e+02	1.179499e+03	2.332301e+03	9.262000e+02	6.887998e+02	6.689998e+02	7.882000e+02	5.885997e+02	6.023002e+02	7.852003e+02	7.387001e+02	8.513998e+02	7.017002e+02	8.171998e+02	7.382000e+02	6.870003e+02	8.183000e+02	7.452001e+02	5.698001e+02	7.143003e+02	6.157001e+02	7.552000e+02	8.056001e+02	1.720600e+03	6.516001e+02	7.010002e+02	7.773998e+02	7.406001e+02	7.009001e+02	7.867001e+02	7.193998e+02	9.482003e+02	1.017800e+03	6.535999e+02	1.019800e+03	8.632000e+02	6.221001e+02	1.085600e+03	6.411002e+02	6.221001e+02	1.187401e+03	8.766997e+02	7.378000e+02	7.857001e+02	1.509800e+03	6.963998e+02	8.695999e+02	8.194999e+02	6.012999e+02	5.840998e+02	7.455002e+02	7.788998e+02	8.487001e+02	7.630004e+02	7.627001e+02	1.066600e+03	6.886003e+02	8.698001e+02	1.099200e+03	7.010998e+02	7.027000e+02	1.093900e+03	7.330999e+02	6.185001e+02	8.308003e+02	6.500000e+02	9.945003e+02	1.058100e+03	5.080001e+02	7.190997e+02	6.870003e+02	7.963998e+02	7.694997e+02	5.504001e+02	7.600998e+02	6.681999e+02	2.142100e+03	6.019000e+02	6.449002e+02	8.776999e+02	8.176995e+02	6.837002e+02	9.129000e+02	6.001000e+02	1.339000e+03	6.628998e+02	6.257996e+02	1.068901e+03	6.152001e+02	6.760003e+02
1.108701e+03	1.101600e+03	1.071500e+03	1.078600e+03	1.045600e+03	9.943004e+02	9.628004e+02	9.890996e+02	1.009400e+03	8.871000e+02	1.492099e+03	1.298200e+03	8.353002e+02	1.041200e+03	1.067500e+03	1.299400e+03	9.069002e+02	1.552100e+03	1.067000e+03	1.012400e+03	1.022500e+03	8.301004e+02	9.691996e+02	1.328400e+03	1.041800e+03	1.027200e+03	9.308004e+02	1.151500e+03	1.327200e+03	8.565995e+02	9.612001e+02	1.029800e+03	9.338001e+02	1.071600e+03	1.078300e+03	9.474001e+02	9.343997e+02	8.703995e+02	1.104600e+03	1.039100e+03	9.921999e+02	8.303996e+02	1.225800e+03	9.345001e+02	1.675800e+03	1.195000e+03	1.181600e+03	1.152900e+03	1.323500e+03	1.380901e+03	1.034600e+03	1.027799e+03	1.149099e+03	1.160100e+03	1.031400e+03	8.572000e+02	9.899995e+02	1.096000e+03	9.704002e+02	1.542900e+03	1.061700e+03	9.815004e+02	7.956003e+02	7.974996e+02	1.234200e+03	1.073300e+03	1.723400e+03	9.457998e+02	9.636998e+02	1.147000e+03	2.133100e+03	1.145900e+03	1.048599e+03	8.129000e+02	9.865005e+02	1.001600e+03	1.076100e+03	1.419600e+03	1.267600e+03	1.034801e+03	1.465600e+03	1.195800e+03	1.252400e+03	1.196800e+03	8.669001e+02	9.105996e+02	1.235501e+03	1.267100e+03	9.459998e+02	1.311800e+03	1.100301e+03
2.193900e+03	2.243501e+03	2.038500e+03	2.125100e+03	2.213300e+03	1.760000e+03	1.900199e+03	2.600499e+03	2.274800e+03	2.688899e+03	2.365701e+03	2.419000e+03	2.697000e+03	2.034599e+03	2.063100e+03	2.477900e+03	2.022699e+03	2.162501e+03	2.216299e+03	2.455600e+03	2.475899e+03	2.143600e+03	2.308700e+03	2.873999e+03	2.401300e+03	2.156400e+03	2.589800e+03	2.363999e+03	2.139300e+03	2.479800e+03	2.528200e+03	2.546101e+03	2.133100e+03	2.425101e+03	2.220300e+03	1.935699e+03	5.124299e+03	1.881400e+03	2.001700e+03	2.985101e+03	2.069100e+03	2.459199e+03	1.903801e+03	2.445500e+03	2.294700e+03	2.399901e+03	2.639899e+03	2.659899e+03	2.476401e+03	2.174601e+03	2.219800e+03	2.190900e+03	2.038000e+03	2.090699e+03	2.187601e+03	2.479999e+03	2.214200e+03	2.841701e+03	2.666000e+03	2.694101e+03	2.789201e+03	2.747599e+03	2.272301e+03	2.054200e+03	2.247501e+03	2.556299e+03	1.701700e+03	2.436600e+03	1.975700e+03	2.178400e+03	2.389000e+03	2.420501e+03	2.261200e+03	2.811901e+03	1.990799e+03	2.199900e+03	2.015200e+03	3.043501e+03	2.244901e+03	2.417300e+03	2.716701e+03	2.781000e+03	2.439899e+03	2.380899e+03	2.083400e+03	2.259500e+03	2.333200e+03	2.480300e+03	2.231000e+03	2.700600e+03	2.458700e+03
